Referencia,FechaAlta,Tipo,Operación,Ciudad,Superficie,Precio Venta,Fecha Venta,Vendedor,Estatus,Días para Vender
1,1/18/16,Estacionamiento,Alquiler,Cancún,215," $1,154,980 ",1/14/17,Joaquín,Vendida,362
2,1/20/16,Oficina,Alquiler,Tijuana,287," $2,851,058 ",1/2/17,Joaquín,Vendida,348
3,1/20/16,Local,Venta,Monterrey,40," $321,680 ",1/11/17,Jesús,Vendida,357
4,1/24/16,Industrial,Venta,Cancún,178," $1,142,938 ",1/23/17,Joaquín,Vendida,365
5,2/3/16,Departamento,Venta,Monterrey,275," $2,141,700 ",1/8/17,Jesús,Vendida,340
6,2/7/16,Industrial,Alquiler,Cancún,103," $728,931 ",2/5/17,Jesús,Vendida,364
7,2/7/16,Casa,Venta,Ciudad de México,227," $1,467,782 ",2/1/17,Carmen,Vendida,360
8,2/10/16,Departamento,Alquiler,Monterrey,238," $1,854,496 ",2/2/17,Luisa,Vendida,358
9,2/10/16,Departamento,Alquiler,Ciudad de México,300," $2,105,700 ",1/26/17,Pedro,Vendida,351
10,2/13/16,Terreno,Alquiler,Tijuana,89," $887,241 ",1/2/17,Luisa,Vendida,324
11,2/14/16,Terreno,Venta,Monterrey,103," $806,799 ",1/11/17,Joaquín,Vendida,332
12,2/15/16,Estacionamiento,Venta,Monterrey,103," $973,659 ",1/4/17,Jesús,Vendida,324
13,2/17/16,Casa,Alquiler,Tijuana,270," $1,385,910 ",2/5/17,Pedro,Vendida,354
14,2/20/16,Casa,Venta,Cancún,130," $1,230,190 ",1/4/17,Luisa,Vendida,319
15,2/21/16,Estacionamiento,Alquiler,Ciudad de México,206," $1,363,926 ",1/8/17,Carmen,Vendida,322
16,2/22/16,Oficina,Alquiler,Cancún,275," $1,765,225 ",2/20/17,Joaquín,Vendida,364
17,2/23/16,Casa,Venta,Tijuana,119," $686,154 ",1/19/17,Pedro,Vendida,331
18,3/1/16,Departamento,Venta,Ciudad de México,249," $1,492,506 ",2/12/17,Luisa,Vendida,348
19,3/2/16,Oficina,Venta,Cancún,172," $1,063,648 ",2/13/17,María,Vendida,348
20,3/6/16,Estacionamiento,Venta,Monterrey,169," $1,370,759 ",1/14/17,Luisa,Vendida,314
21,3/8/16,Terreno,Alquiler,Ciudad de México,73," $597,286 ",2/20/17,Joaquín,Vendida,349
22,3/9/16,Oficina,Venta,Monterrey,268," $2,400,476 ",3/8/17,Joaquín,Vendida,364
23,3/12/16,Industrial,Venta,Tijuana,156," $848,328 ",2/27/17,Jesús,Vendida,352
24,3/16/16,Casa,Venta,Ciudad de México,63," $537,264 ",2/8/17,Carmen,Vendida,329
25,3/18/16,Local,Venta,Monterrey,56," $553,616 ",3/9/17,Pedro,Vendida,356
26,3/20/16,Departamento,Venta,Cancún,87," $519,738 ",1/13/17,Carmen,Vendida,299
27,3/21/16,Oficina,Venta,Ciudad de México,177," $842,343 ",3/10/17,María,Vendida,354
28,3/23/16,Departamento,Alquiler,Ciudad de México,250," $2,253,500 ",2/21/17,Joaquín,Vendida,335
29,3/24/16,Oficina,Alquiler,Ciudad de México,206," $1,297,594 ",3/3/17,Carmen,Vendida,344
30,3/26/16,Terreno,Alquiler,Ciudad de México,223," $1,932,518 ",1/19/17,Pedro,Vendida,299
31,3/27/16,Industrial,Venta,Cancún,263," $1,494,892 ",2/2/17,María,Vendida,312
32,3/29/16,Industrial,Alquiler,Monterrey,46," $351,256 ",3/28/17,Luisa,Vendida,364
33,4/1/16,Oficina,Venta,Cancún,117," $739,206 ",1/25/17,Carmen,Vendida,299
34,4/2/16,Oficina,Alquiler,Cancún,186," $1,382,166 ",3/1/17,Pedro,Vendida,333
35,4/3/16,Local,Alquiler,Tijuana,143," $665,951 ",2/18/17,Pedro,Vendida,321
36,4/3/16,Terreno,Venta,Monterrey,230," $1,722,700 ",3/26/17,Carmen,Vendida,357
