Referencia,FechaAlta,Tipo,Operación,Ciudad,Superficie,Precio Venta,Fecha Venta,Vendedor,Estatus,Días para Vender
1,1/18/16,Estacionamiento,Alquiler,Cancún,215," $1,154,980 ",1/14/17,Joaquín,Vendida,362
2,1/20/16,Oficina,Alquiler,Tijuana,287," $2,851,058 ",1/2/17,Joaquín,Vendida,348
6,2/7/16,Industrial,Alquiler,Cancún,103," $728,931 ",2/5/17,Jesús,Vendida,364
8,2/10/16,Departamento,Alquiler,Monterrey,238," $1,854,496 ",2/2/17,Luisa,Vendida,358
9,2/10/16,Departamento,Alquiler,Ciudad de México,300," $2,105,700 ",1/26/17,Pedro,Vendida,351
10,2/13/16,Terreno,Alquiler,Tijuana,89," $887,241 ",1/2/17,Luisa,Vendida,324
13,2/17/16,Casa,Alquiler,Tijuana,270," $1,385,910 ",2/5/17,Pedro,Vendida,354
15,2/21/16,Estacionamiento,Alquiler,Ciudad de México,206," $1,363,926 ",1/8/17,Carmen,Vendida,322
16,2/22/16,Oficina,Alquiler,Cancún,275," $1,765,225 ",2/20/17,Joaquín,Vendida,364
21,3/8/16,Terreno,Alquiler,Ciudad de México,73," $597,286 ",2/20/17,Joaquín,Vendida,349
28,3/23/16,Departamento,Alquiler,Ciudad de México,250," $2,253,500 ",2/21/17,Joaquín,Vendida,335
29,3/24/16,Oficina,Alquiler,Ciudad de México,206," $1,297,594 ",3/3/17,Carmen,Vendida,344
30,3/26/16,Terreno,Alquiler,Ciudad de México,223," $1,932,518 ",1/19/17,Pedro,Vendida,299
32,3/29/16,Industrial,Alquiler,Monterrey,46," $351,256 ",3/28/17,Luisa,Vendida,364
34,4/2/16,Oficina,Alquiler,Cancún,186," $1,382,166 ",3/1/17,Pedro,Vendida,333
35,4/3/16,Local,Alquiler,Tijuana,143," $665,951 ",2/18/17,Pedro,Vendida,321
37,4/5/16,Casa,Alquiler,Tijuana,170," $995,520 ",2/1/17,Jesús,Vendida,302
38,4/5/16,Departamento,Alquiler,Ciudad de México,268," $2,338,032 ",1/2/17,Pedro,Vendida,272
41,4/9/16,Departamento,Alquiler,Ciudad de México,175," $747,075 ",2/1/17,Pedro,Vendida,298
43,4/10/16,Local,Alquiler,Tijuana,49," $424,536 ",3/4/17,Pedro,Vendida,328
44,4/11/16,Terreno,Alquiler,Ciudad de México,261," $1,220,697 ",2/9/17,Carmen,Vendida,304
45,4/11/16,Terreno,Alquiler,Tijuana,242," $1,099,648 ",2/13/17,María,Vendida,308
47,4/12/16,Casa,Alquiler,Ciudad de México,201," $1,107,108 ",4/7/17,Joaquín,Vendida,360
48,4/14/16,Estacionamiento,Alquiler,Cancún,258," $1,770,912 ",3/2/17,Jesús,Vendida,322
49,4/15/16,Industrial,Alquiler,Monterrey,150," $968,250 ",2/15/17,María,Vendida,306
50,4/15/16,Local,Alquiler,Ciudad de México,237," $1,093,281 ",1/2/17,Jesús,Vendida,262
51,4/15/16,Departamento,Alquiler,Ciudad de México,120," $722,880 ",2/14/17,Joaquín,Vendida,305
52,4/15/16,Departamento,Alquiler,Ciudad de México,113," $1,102,880 ",3/17/17,Jesús,Vendida,336
56,4/19/16,Industrial,Alquiler,Cancún,143," $712,712 ",1/10/17,Jesús,Vendida,266
58,4/19/16,Casa,Alquiler,Ciudad de México,177," $924,294 ",1/19/17,Luisa,Vendida,275
60,4/20/16,Oficina,Alquiler,Monterrey,227," $1,437,818 ",3/27/17,Jesús,Vendida,341
64,4/22/16,Estacionamiento,Alquiler,Tijuana,235," $1,773,780 ",3/28/17,Pedro,Vendida,340
66,4/23/16,Terreno,Alquiler,Cancún,85," $683,230 ",2/6/17,Carmen,Vendida,289
67,4/24/16,Casa,Alquiler,Cancún,178," $1,458,176 ",2/12/17,Carmen,Vendida,294
68,4/24/16,Industrial,Alquiler,Monterrey,211," $1,171,894 ",3/22/17,Pedro,Vendida,332
